Timestamp,where do you belong?,If you need to purchase a stove what will you consider first,which stove you are currently using?,How much it cost's you monthly(bill)?,Cost of your Stove?,Do you have load-shedding of Gas or electricity in you area?,what improvement you want to see in stove in near future?,How long(time) does it takes to cook a meal for a day?,Do you think we can utilize our non-renewable energy somewhere else instead of wasting it for cooking?,Have you ever forget to turn off you stove after cooking?,Do you think that to have a gas stove at home is risky and dangerous?,Do you think it is preferable to have a portable cooking system?(for picnic etc),will you prefer a cooker with no headache of electricity or gas bill?,Do you think there should be a timer in your Stove?,Have you ever over cooked your food accidently?,Have you ever hurt yourself from fire while cooking?,In rural areas since there is no electricity or gas therefore mostly people use handmade stoves which release harmful smoke. Do you think it is a cause of  air pollution?,Sometimes gas is not available then how do you manage to cook? do you cook at low flame or use some other method? How long does it takes to cook food?,Do you think Cooking food with gas raises the risk of lung cancer?,Life time of your Stove?,What else difficulties do you face while cooking?,How much you are willing to spend on a cooker which is  [Easy to use],How much you are willing to spend on a cooker which is  [Energy Efficient],How much you are willing to spend on a cooker which is  [Safer ],How much you are willing to spend on a cooker which is  [provide precise temperature control],How much you are willing to spend on a cooker which is  [Time Efficient],How much you are willing to spend on a cooker which is  [Only one time investment],How much you are willing to spend on a cooker which is  [longer lifetime],How much you are willing to spend on a cooker which is  [All in one with finest quality],Any Remarks?
2020/11/08 6:07:20 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,There should b light on it so whenever light went off the food will be visible,1 hr,Strongly agree,Yes,Strongly agree,agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,At low flame,agree,4,Not sure,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,Yes there should be one
2020/11/08 6:09:29 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Both,Light weight,1 hour,agree,Yes,Not sure,agree,Agree,yes,Maybe,Not sure,Not sure,Cook at low flame and it takes 2 hours,Not sure,1,Nothing,less than 10k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,more than 25k,more than 25k,more than 25k,Keep doing great for us
2020/11/08 6:10:15 PM GMT+5,City,cost effective;safety;long live;easy to use,Gas stove,less than 2000,4k-----8k,Electricity,,,not sure,No,Agree,Not sure,Not sure,no,Yes,Disagree,Not sure,.,Not sure,10,,less than 10k,10k-----15k,15k-----20k,less than 10k,10k-----15k,15k-----20k,less than 10k,15k-----20k,
2020/11/08 6:24:47 PM GMT+5,City,long live,Gas stove,less than 2000,8k-----12k,Both,Power efficient,2 to 3 hrs,not sure,No,Disagree,agree,Agree,yes,Maybe,Disagree,Agree,About 4 hrs,Not sure,8,Gas problem,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:30:30 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution;Also have LED,Gas stove,less than 2000,4k-----8k,Both,,2/3 hours ,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,This situation is difficult to overcome,agree,4,I feel exhausted,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,It's better that stove have LED system 
2020/11/08 6:31:35 PM GMT+5,Town,cost effective,Gas stove,less than 2000,4k-----8k,Both,Make it electrical and gas both. So we can use one if the other is bot available.,2 hours,Strongly agree,Yes,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Cylinder.,agree,6,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:31:54 PM GMT+5,Town,cost effective;safety;long live;easy to use;less pollution,Gas stove,more than 8000,8k-----12k,Both,,1 hour ,Strongly agree,Maybe,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,It takes 2 to 3 hours to cook at low flame ,Strongly agree,10,Over cooking ,less than 10k,10k-----15k,15k-----20k,15k-----20k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,There should be electrical stove
2020/11/08 6:32:13 PM GMT+5,City,less pollution,Gas stove,2000-----4000,8k-----12k,Both,Less pollution,More than 2 hours,agree,Yes,Not sure,agree,Agree,yes,No,Agree,Agree,Take food outside,agree,3,Gas pressure up. Down,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,less than 10k,10k-----15k,less than 10k,
2020/11/08 6:37:52 PM GMT+5,City,cost effective;power efficient;safety;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,,1 and half hour,not sure,No,Disagree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Other method. 2 to 3 hpurs,agree,10,,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,less than 10k,10k-----15k,10k-----15k,
2020/11/08 6:41:25 PM GMT+5,Town,cost effective;easy to use,Gas stove,2000-----4000,4k-----8k,Both,,3 hours,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Agree,purchase from hotel,Strongly agree,6,switching over gas cylinder,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:43:44 PM GMT+5,City,cost effective;safety;long live,Gas stove,less than 2000,4k-----8k,Both,None,Depends on stuff you make. 30-50 minutes,not sure,No,Not sure,agree,Strongly agree,yes,Yes,Agree,Agree,Order food.,Not sure,9,None,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,None
2020/11/08 6:50:37 PM GMT+5,City,power efficient;long live;easy to use,Gas stove,2000-----4000,4k-----8k,Both,It should be fast running and efficient,2 hours,disagree,Yes,Not sure,agree,Agree,yes,Yes,Agree,Agree,We order the food,Disagree,7,It makes utensils black,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 6:50:43 PM GMT+5,City,All,Gas stove,less than 2000,8k-----12k,Both,"ایسے material سے stove بنا ہو کہ اسے ذرا سی  heat ملنے پر stove کا وہ stand جہاں برتن ہوتا ہے وہ گرم ہو جائے یعنی max heat observe کرے , اس سے بہت کم گیس میں بھی بہر فائدہ ہو گا اور بل بھی کم آئے گا",,not sure,Maybe,Strongly Disagree,Strongly agree,Strongly agree,yes,No,Not sure,Strongly Disagree,we use extra gas cylinder ,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,
2020/11/08 6:53:07 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Gas,easy to usy ,i dont know,not sure,Yes,Agree,Not sure,Not sure,yes,Maybe,Agree,Strongly agree,use hand made stove to cook and he gives time almost double of this,Not sure,4,heating,10k-----15k,less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,15k-----20k,less than 10k,9
2020/11/08 6:53:16 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Gas,easy to usy ,i dont know,not sure,Yes,Agree,Not sure,Not sure,yes,Maybe,Agree,Strongly agree,use hand made stove to cook and he gives time almost double of this,Not sure,4,heating,10k-----15k,less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,15k-----20k,less than 10k,9
2020/11/08 6:56:39 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use,Gas stove,less than 2000,4k-----8k,Both,I don't know,Half an hour,Strongly agree,No,Agree,Not sure,Not sure,yes,Maybe,Agree,Not sure,Cooking on LPG Cylinder,Not sure,1,Nothing,less than 10k,10k-----15k,less than 10k,10k-----15k,10k-----15k,less than 10k,10k-----15k,10k-----15k,No
2020/11/08 7:04:00 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,,,not sure,Maybe,Disagree,agree,Strongly agree,yes,Maybe,Agree,Strongly agree,"When gas is not available, we use electric oven to cook food or order something from outside. We cook food at low flame. It takes maximum one hour to cook food for a day.",Disagree,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 7:06:13 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Both,Easy to use n safe ,4 hours ,not sure,Yes,Agree,Strongly agree,Agree,yes,Yes,Disagree,Strongly agree,We order from restaurant,Not sure,6,"Gas load-shedding, in small house smoke n ventilator problem, n my kid has has a dust allergy from smoke",more than 25k,20k-----25k,more than 25k,20k-----25k,more than 25k,15k-----20k,15k-----20k,more than 25k,Good ☺️
2020/11/08 7:06:50 PM GMT+5,City,safety,Gas stove,2000-----4000,4k-----8k,Both,No flame issue come in future ,I don't think so.,disagree,No,Not sure,agree,Disagree,no,No,Disagree,Not sure,In this situation we use handmade stoves,Strongly Disagree,10,Low flame while cooking food,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Please improve our gas or electrical strove system in future properly specially in winters
2020/11/08 7:16:21 PM GMT+5,City,cost effective;power efficient;safety;easy to use;less pollution,Gas stove,2000-----4000,4k-----8k,Gas,It should turn off automatically when their is no cooking item upon stove .,I don't know,Strongly agree,Yes,Not sure,Strongly agree,Agree,Maybe,Maybe,Not sure,Strongly agree,At low flame,Not sure,8,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,No any
2020/11/08 7:18:36 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use,Gas stove,less than 2000,4k-----8k,Both,Don't know,Don't know ,Strongly agree,Yes,Strongly agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,At low flame or don't cook at all,Not sure,5,Heat,less than 10k,less than 10k,10k-----15k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,
2020/11/08 7:21:30 PM GMT+5,City,cost effective;power efficient;safety;portable;easy to use;less pollution,Gas stove,2000-----4000,4k-----8k,Both,There is gas in stove,1 hour,agree,Maybe,Disagree,Not sure,Agree,no,Yes,Agree,Not sure,If there is no gas then we cook at low flame and   food took time  2 hours,Strongly agree,7,No difficulties,less than 10k,less than 10k,10k-----15k,15k-----20k,10k-----15k,less than 10k,less than 10k,10k-----15k, if there is no  stove how  we cook food. We don't cooks
2020/11/08 7:29:35 PM GMT+5,City,cost effective;safety;long live,Gas stove,less than 2000,12k-----16k,Electricity,don't know much,I don't cook much,Strongly agree,Yes,Not sure,agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,we cook on low flame or use gas cylender,Not sure,5,nothing,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Nothing
2020/11/08 7:29:35 PM GMT+5,Town,cost effective;safety;easy to use,Gas stove,less than 2000,4k-----8k,Electricity,Auto stop stove,15 to 45 mins,agree,Yes,Agree,agree,Strongly agree,yes,Yes,Strongly agree,Not sure,Order take aways and stuffs,Strongly Disagree,10,Looking for matches,less than 10k,less than 10k,less than 10k,10k-----15k,15k-----20k,more than 25k,15k-----20k,10k-----15k,None
2020/11/08 7:43:59 PM GMT+5,City,safety,Gas stove,less than 2000,4k-----8k,Both,A continuous and safe supply of gas,Near 2-3 hr,not sure,Maybe,Agree,Strongly agree,Strongly agree,no,Yes,Agree,Not sure,We use to manage other way which is lineant to take food on time,Not sure,10,Gas pressure,less than 10k,less than 10k,15k-----20k,15k-----20k,less than 10k,15k-----20k,15k-----20k,15k-----20k,Cooking must have efficient gas supply and good quality of food and taste
2020/11/08 7:58:15 PM GMT+5,Town,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,Safety,-,agree,No,Strongly agree,agree,Strongly agree,Maybe,No,Not sure,Not sure,Cylinder ,agree,10,-,less than 10k,10k-----15k,15k-----20k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,20k-----25k,
2020/11/08 8:02:29 PM GMT+5,City,power efficient;safety,Gas stove,less than 2000,4k-----8k,Both,,,disagree,Maybe,Not sure,Not sure,Not sure,yes,Yes,Agree,Agree,We have a portable gas cylinder in spare. ,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 8:12:05 PM GMT+5,City,safety,Gas stove,more than 8000,12k-----16k,Electricity,,1 hour,not sure,No,Not sure,Not sure,Not sure,yes,Yes,Not sure,Not sure,..,Not sure,5,..,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,.
2020/11/08 8:16:15 PM GMT+5,City,power efficient,Gas stove,less than 2000,4k-----8k,Electricity,More efficient,An hour,not sure,No,Disagree,agree,Agree,no,Yes,Agree,Strongly agree,Use other methods,agree,4,None other than above mentioned,less than 10k,10k-----15k,15k-----20k,less than 10k,10k-----15k,15k-----20k,less than 10k,10k-----15k,No
2020/11/08 8:18:02 PM GMT+5,City,cost effective;power efficient;safety;long live,Gas stove,less than 2000,4k-----8k,Electricity,Power efficient and easy working,,disagree,Maybe,Not sure,Strongly agree,Disagree,yes,Yes,Agree,Agree,Go to restaurant and eat it there,agree,8,Over heating ,less than 10k,10k-----15k,less than 10k,15k-----20k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,
2020/11/08 8:32:57 PM GMT+5,City,easy to use,Gas stove,less than 2000,4k-----8k,Both,Gas pressure,2 hours,disagree,No,Disagree,Strongly agree,Strongly agree,yes,No,Strongly Disagree,Strongly agree,Mostly now a days full time low pressure of gas thats why i m using gas cylinder ,Not sure,10,Gas pressure and gas load shading ,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 8:34:36 PM GMT+5,City,power efficient;safety;long live;easy to use;less pollution,Gas stove,less than 2000,more than 16k,Electricity,,Depend on item we are cooking,agree,No,Agree,agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,We order food,Not sure,10,Smaller size,15k-----20k,20k-----25k,20k-----25k,15k-----20k,15k-----20k,20k-----25k,20k-----25k,more than 25k,
2020/11/08 8:51:48 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Electric stove,more than 8000,more than 16k,Gas,,,Strongly agree,No,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,No,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 8:59:10 PM GMT+5,City,less pollution,Gas stove,more than 8000,more than 16k,Gas,It should be fully automatic,1 hour,Strongly agree,No,Agree,Strongly agree,Strongly agree,yes,Yes,Agree,Strongly agree,Then we don't cook we order online meal ,Not sure,10,Heat,15k-----20k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,It was such a good experience for sharing my views
2020/11/08 9:03:08 PM GMT+5,City,easy to use,Gas stove,less than 2000,4k-----8k,Both,Best quality stove and improvement in loadsheding ,Two to thr hours ,not sure,No,Agree,agree,Not sure,no,Maybe,Agree,Disagree,"We not cooked at low flam, we ordered food from outside. ",Not sure,6,No any ,15k-----20k,10k-----15k,less than 10k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,It's good for increasing knowledge about the stove usage 👍
2020/11/08 9:04:59 PM GMT+5,Town,cost effective,Gas stove,2000-----4000,4k-----8k,Both,,,agree,No,Disagree,Not sure,Agree,Maybe,Maybe,Disagree,Agree,low flame,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,15k-----20k,
2020/11/08 9:25:13 PM GMT+5,City,less pollution,Electric stove,more than 8000,more than 16k,Both,Should be automatic stove,1 hour,Strongly agree,No,Agree,Strongly agree,Agree,yes,Yes,Agree,Agree,We don't cook then,Not sure,10,Heat,15k-----20k,less than 10k,15k-----20k,15k-----20k,less than 10k,15k-----20k,15k-----20k,15k-----20k,Had good experience with this survey
2020/11/08 9:28:59 PM GMT+5,City,less pollution,Gas stove,more than 8000,more than 16k,Both,There should be an automatic stove,2 hour,Strongly agree,No,Agree,Strongly agree,Agree,yes,Yes,Disagree,Agree,We don't cook then,Not sure,10,Temperature of kitchen room,15k-----20k,less than 10k,15k-----20k,10k-----15k,15k-----20k,15k-----20k,15k-----20k,15k-----20k,Its nice to see this type of survey
2020/11/08 9:43:08 PM GMT+5,City,cost effective;power efficient;safety;long live;portable;easy to use;less pollution,Gas stove,less than 2000,4k-----8k,Both,Quality,1 hr,Strongly agree,No,Strongly agree,Strongly agree,Strongly agree,yes,No,Strongly agree,Strongly agree,3 hours,Strongly agree,5,Nothing,less than 10k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,No
2020/11/08 9:48:06 PM GMT+5,Town,power efficient,Gas stove,less than 2000,12k-----16k,Both,I want an automatic stove,1 hr,not sure,Maybe,Disagree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,We actually don't eat on that day it takes alot of time to cook ,Not sure,5,Afraid of fire so can't light up the gas by matchstick ,less than 10k,10k-----15k,10k-----15k,15k-----20k,10k-----15k,10k-----15k,15k-----20k,15k-----20k,
2020/11/08 9:50:13 PM GMT+5,City,cost effective;power efficient;safety;long live;easy to use,Gas stove,less than 2000,4k-----8k,Electricity,,1 hr,not sure,No,Not sure,agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,Often i prefer to purchase it from hotel otherwise low flame cooking is the option but more time consuming,agree,8,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 9:50:33 PM GMT+5,City,power efficient,Electric stove,more than 8000,8k-----12k,Both,light weigt,1 hr,not sure,Yes,Agree,Strongly agree,Strongly agree,no,No,Agree,Not sure,gas cylinder,Not sure,5,tired...😜😜,less than 10k,10k-----15k,15k-----20k,10k-----15k,less than 10k,10k-----15k,15k-----20k,10k-----15k,best of luck...😊😊😊
2020/11/08 9:54:29 PM GMT+5,City,All of the above.,Gas stove,less than 2000,4k-----8k,Electricity,Maintenance friendly,2 hrs,disagree,No,Not sure,Strongly agree,Strongly agree,yes,No,Agree,Strongly agree,We purchase the food from hotels in that condition.,Strongly agree,4,Heat production.,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,10k-----15k,Very nice survey about stove and cooking.
2020/11/08 9:54:31 PM GMT+5,City,cost effective;power efficient;safety,Electric stove,more than 8000,12k-----16k,Both,,1 hr,agree,Maybe,Not sure,agree,Agree,yes,Yes,Agree,Agree,,Not sure,6,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 9:55:35 PM GMT+5,City,less pollution,Gas stove,less than 2000,4k-----8k,Both,,1 hr,Strongly agree,No,Not sure,Not sure,Not sure,yes,No,Agree,Strongly agree,Buy from hotel,Strongly agree,2,No one,less than 10k,less than 10k,10k-----15k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,Electrical stove is not good for health its harmful 
2020/11/08 10:13:54 PM GMT+5,Town,safety,Gas stove,2000-----4000,4k-----8k,Both,,1 hr,disagree,Maybe,Not sure,Strongly agree,Agree,yes,Maybe,Not sure,Strongly agree,"In winter's we will cross from this situation so we will cook at low flame, but if guest are come then we will purchase from outside because at low flame takes alot time!",Not sure,4,"In winter's we will get difficulty Because at low flame we will cook and it takes alots time, and also we will waste our body energy!",less than 10k,15k-----20k,10k-----15k,less than 10k,less than 10k,less than 10k,10k-----15k,less than 10k,
2020/11/08 10:16:52 PM GMT+5,Town,long live,Gas stove,less than 2000,4k-----8k,Both,"I want a gas stove which is safe, easy to use and cause less pollution.",2 hrs,not sure,Yes,Agree,Not sure,Strongly agree,yes,Yes,Agree,Agree,"It's very hard to cook without gas, we have no other method to cook our food here. Even if we try to cook on a low flame it'll take more than 3 hours.",Not sure,5,Sometimes the gas makes our breath uncomfortable while cooking.,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,"The idea of making a Solar induction cooker seems a mercy upon poor people and also for those who are facing gas loadshedding. This will surely be the best invention for the people of rural areas, hopping to see its expected impact!  "
2020/11/08 10:23:24 PM GMT+5,City,power efficient,Gas stove,2000-----4000,8k-----12k,Electricity,More safe & provides more energy at low cost/fuel,No idea,not sure,Maybe,Agree,Strongly agree,Strongly agree,yes,Yes,Strongly agree,Strongly agree,,Not sure,5,Oil spill,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,20k-----25k,15k-----20k,
2020/11/08 10:38:12 PM GMT+5,City,easy to use,Gas stove,less than 2000,4k-----8k,Both,Nothing,1 hr,Strongly agree,No,Disagree,agree,Agree,no,Yes,Strongly agree,Not sure,,Not sure,10,,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,less than 10k,
2020/11/08 10:47:58 PM GMT+5,City,safety,Gas stove,less than 2000,8k-----12k,Electricity,ease in its usage and improvements in its safety i guess and if they can prevent it from getting dirty then that will be a huge thing ,depends on what you wanna cook but ill say 1hour n 15 mins approx,not sure,No,Agree,Strongly agree,Strongly agree,yes,Maybe,Strongly agree,Agree,"i am a guy so i don't really cook much but i do know people who cook (my mom ofc) and from that perspective i would we don't usually have this problem and even if we find ourself into such kind of situation we just order our food then Easy! but yeah not everybody can do that, especially those, who are in rural areas. ",Not sure,4,as i said i don't cook that much but as far as i am concerned its the heat that comes from it and i dont think people can do much about it obviously you dont wanna make an isolation chamber just to cook some maggie,less than 10k,10k-----15k,10k-----15k,less than 10k,less than 10k,10k-----15k,10k-----15k,15k-----20k,"I don't know my thoughts are helping you guys or not, as its coming from a guy who sucks at cooking but i tried my best to give as much info as i can anyways good luck with whatever you guys are doing. "
